place_id,destination,title,city,state,address,latitude,longitude,rating,reviews_count,description,image_url,category,source_url,data_source
1,Jim Corbett National Park,Jim Corbett National Park,Ramnagar,Uttarakhand,"Nainital District, Ramnagar, Uttarakhand 244715, India",29.5300138,78.7746603,4.4,23532,"India's oldest national park, opened in 1936, with a Bengal tiger reserve, visitor centre & safaris.",https://lh5.googleusercontent.com/p/AF1QipPn8_3y1Bms1tibrYTAtyWxWu4m-P8DkrCF9bPN=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Jim+Corbett+National+Park/@29.5300138,78.7746603,17z/data=!3m1!4b1!4m6!3m5!1s0x390a24ffffffffff:0x3017b72d3d253fd7!8m2!3d29.5300138!4d78.7746603!16zL20vMDFxMng4?hl=en",rich_dataset
2,Dehradun,Malsi Deer Park,Dehradun,Uttarakhand,"93QG+86Q, Diversion, Mussoorie Rd, Dehradun, Uttarakhand 248009, India",30.3883325,78.0756051,4.1,10937,Mini zoological park with many deer & a children's area amid natural surroundings.,https://lh5.googleusercontent.com/p/AF1QipNRyCramBILFR4tK5wLnuC5wJa6aRUOZSwstvMQ=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/Malsi+Deer+Park/@30.3883325,78.0756051,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d7a8b4fca143:0xaf3a6aa36d3264ba!8m2!3d30.3883325!4d78.0756051!16s%2Fg%2F1hm6f_vsz?hl=en",rich_dataset
3,Rishikesh,Ram Jhoola Ganga Ghat,Rishikesh,Uttarakhand,"48C7+QJX, Swarg Ashram, Rishikesh, Uttarakhand 249304, India",30.1219831,78.3141103,4.7,169,,https://lh5.googleusercontent.com/p/AF1QipM2EkxsQxrYSg9rL7ck3cDmOyHP1Z-v-GGeVk84=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Ram+Jhoola+Ganga+Ghat/@30.1219831,78.3141103,17z/data=!3m1!4b1!4m6!3m5!1s0x3909163fa6bc4625:0x44378220e2cf8160!8m2!3d30.1219831!4d78.3141103!16s%2Fg%2F11g72lj3bz?hl=en",rich_dataset
4,Dehradun,Chandrabani Temple,Dehradun,Uttarakhand,"7XMM+HJ5, Chandrabani, Dehradun, Uttarakhand 248171, India",30.2838822,77.9841048,4.3,725,,https://lh5.googleusercontent.com/p/AF1QipPmbVs7aAGg9ontvwAlxNzBXlRPku1o1xOPTCzQ=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Chandrabani+Temple/@30.2838822,77.9841048,17z/data=!3m1!4b1!4m6!3m5!1s0x39092bafebaf49df:0xbdd9a76716e1199c!8m2!3d30.2838822!4d77.9841048!16s%2Fg%2F124syq7b8?hl=en",rich_dataset
5,Almora,Almora,Almora,Uttarakhand,"HMW4+PGC, Mall Rd, Paltan Bazar, Dharanaula, Almora, Uttarakhand 263601, India",29.596807,79.6562531,4.6,1472,,https://lh5.googleusercontent.com/p/AF1QipPG7BIoHp5wBPijdARxQl1d5fUTE5DJDuSeGL2p=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Almora/@29.596807,79.6562531,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0b7d14a12b7df:0x2b8719eee6b2d1e7!8m2!3d29.596807!4d79.6562531!16s%2Fg%2F11hyjtyvtm?hl=en",rich_dataset
6,Dehradun,Zonal Anthropological Museum,Dehradun,Uttarakhand,"82W7+J3J, Pearson Rd, Forest Research Institute, ONGC, Dehradun, Uttarakhand 248003, India",30.3465837,78.01265,4.0,105,,https://lh5.googleusercontent.com/p/AF1QipNPFeyeB6ibo8vZj5DyfITz08QBqEqcG1xE8rtH=w1920-h1080-k-no,Historical,"https://www.google.com/maps/place/Zonal+Anthropological+Museum/@30.3465837,78.01265,17z/data=!3m1!4b1!4m6!3m5!1s0x3908d5f9411e0b45:0x707c20134e9b88d4!8m2!3d30.3465837!4d78.01265!16s%2Fg%2F11h0ng89w?hl=en",rich_dataset
7,Nainital,Hanuman Garhi,Nainital,Uttarakhand,"9F85+5H8, Haldwani Road, Nainital, Uttarakhand 263002, India",29.3654002,79.4589559,4.7,1657,"Built in 1950, this hillside Hindu temple dedicated to Lord Hanuman offers sunrise & sunset views.",https://lh5.googleusercontent.com/p/AF1QipOX-amgMImVj9PG2pAK2A52eqQv6g2J6-zKxi0=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Hanuman+Garhi/@29.3654002,79.4589559,17z/data=!3m1!4b1!4m6!3m5!1s0x39a09f57599d1b19:0xb5c63417d43777c7!8m2!3d29.3654002!4d79.4589559!16s%2Fg%2F1v1vbl_1?hl=en",rich_dataset
8,Haridwar,Ganga Ghat Business,Haridwar,Uttarakhand,"Mayapur, Kankhal, Haridwar, Uttarakhand 249408, India",29.9278992,78.1438977,4.5,2181,,https://lh5.googleusercontent.com/p/AF1QipMuHPR60-SIvxbujMtGGJghzuI-RkTYLb5e1xQP=w1920-h1080-k-no,Adventure,"https://www.google.com/maps/place/Ganga+Ghat+Business/@29.9278992,78.1438977,17z/data=!3m1!4b1!4m6!3m5!1s0x3909465b00000001:0x5f6fb9c62f17d8c1!8m2!3d29.9278992!4d78.1438977!16s%2Fg%2F11bv3vw2k1?hl=en",rich_dataset
9,Rishikesh,Virbhadra Temple,Rishikesh,Uttarakhand,"Aam Bag, IDPL Colony, Rishikesh, Uttarakhand 249202, India",30.067533,78.2800841,4.7,525,,https://lh5.googleusercontent.com/p/AF1QipOs_t0pGGNivpfhpmIVCbPgpMZUp0t2SJXBRiYN=w1920-h1080-k-no,Pilgrimage,"https://www.google.com/maps/place/Virbhadra+Temple/@30.067533,78.2800841,17z/data=!3m1!4b1!4m6!3m5!1s0x39093e3ce6f33ded:0xc6dd8704d1263f0c!8m2!3d30.067533!4d78.2800841!16s%2Fg%2F11gh3fjc_m?hl=en",rich_dataset
10,Nainital,Nainital - The City Of Lakes,Nainital,Uttarakhand,"Kennedy Road, Mallital, Nainital, Uttarakhand 263002, India",29.3854256,79.4626268,4.6,14,,https://lh5.googleusercontent.com/p/AF1QipMOysDqj9dxgdwGpn473qpz5ogvWz5EkF1M9rfI=w1920-h1080-k-no,Nature,"https://www.google.com/maps/place/%E0%A4%A8%E0%A5%88%E0%A4%A8%E0%A5%80%E0%A4%A4%E0%A4%BE%E0%A4%B2+-+%E0%A4%9D%E0%A5%80%E0%A4%B2%E0%A5%8B%E0%A4%82+%E0%A4%95%E0%A4%BE+%E0%A4%B6%E0%A4%B9%E0%A4%B0/@29.3854256,79.4626268,17z/data=!3m1!4b1!4m6!3m5!1s0x39a0a128cb4dd69d:0xb34876b7e41c5ca9!8m2!3d29.3854256!4d79.4626268!16s%2Fg%2F11r_tbtmtq?hl=en",rich_dataset
